Test #,Most frequent character,Count
1,y,3
2,u,6
3,j,4
4,z,2
5,c,3
6,j,2
7,w,5
8,c,3
9,j,5
10,z,6
11,x,4
12,i,5
13,e,4
14,r,5
15,r,4
16,a,5
17,b,2
18,d,6
19,g,4
20,c,2
21,b,7
22,e,4
23,y,5
24,q,6
25,z,5
26,e,2
27,d,5
28,m,4
29,r,3
30,b,5
31,c,5
32,k,2
33,f,5
34,k,4
35,a,2
36,q,3
37,d,2
38,j,5
39,d,5
40,n,3
41,e,5
42,k,5
43,q,3
44,g,4
45,y,3
46,k,2
47,k,5
48,k,4
49,i,4
50,i,2
51,d,5
52,i,6
53,t,5
54,v,3
55,d,4
56,m,4
57,c,3
58,l,5
59,v,3
60,b,3
61,b,4
62,x,2
63,e,6
64,e,5
65,a,6
66,m,4
67,e,2
68,d,2
69,i,1
70,l,4
71,e,6
72,j,5
73,s,7
74,i,2
75,a,3
76,t,3
77,d,2
78,m,2
79,h,6
80,a,6
81,a,4
82,j,4
83,s,2
84,c,5
85,l,5
86,b,3
87,i,4
88,u,3
89,d,2
90,k,4
91,v,5
92,z,5
93,e,2
94,k,5
95,b,5
96,b,7
97,a,6
98,a,4
99,a,4
100,t,7
101,e,5
102,w,5
103,j,2
104,u,6
105,i,2
106,z,7
107,g,2
108,b,3
109,o,4
110,n,5
111,h,3
112,v,3
113,d,3
114,b,5
115,a,4
116,d,2
117,c,6
118,b,3
119,d,5
120,q,5
121,e,4
122,l,4
123,q,5
124,l,2
125,w,6
126,e,2
127,y,3
128,g,4
129,j,3
130,c,5
131,x,4
132,d,4
133,a,2
134,m,5
135,j,3
136,v,4
137,f,3
138,r,2
139,m,6
140,v,5
141,e,2
142,v,5
143,i,7
144,f,3
145,w,4
146,s,5
147,j,3
148,k,6
149,s,2
150,u,5
151,n,4
152,b,4
153,b,5
154,h,5
155,a,4
156,i,4
157,c,2
158,m,3
159,t,7
160,e,3
161,e,2
162,j,5
163,n,6
164,p,4
165,n,7
166,f,4
167,k,3
168,g,2
169,p,4
170,g,5
171,o,4
172,a,2
173,f,5
174,j,5
175,x,4
176,a,5
177,c,4
178,a,1
179,r,6
180,f,4
181,d,2
182,s,7
183,t,4
184,z,7
185,b,2
186,z,4
187,g,2
188,z,3
189,x,3
190,j,4
191,x,7
192,v,2
193,f,6
194,l,4
195,h,4
196,d,5
197,g,5
198,i,7
199,a,7
200,t,4
201,c,4
202,j,4
203,x,6
204,k,3
205,p,3
206,i,6
207,w,4
208,h,6
209,n,3
210,h,3
211,b,2
212,s,6
213,f,3
214,r,4
215,r,6
216,m,4
217,f,2
218,c,6
219,n,6
220,a,2
221,g,6
222,u,7
223,a,5
224,l,5
225,s,3
226,i,5
227,g,6
228,z,3
229,b,2
230,i,5
231,d,5
232,c,4
233,i,3
234,b,3
235,w,5
236,n,6
237,w,3
238,c,1
239,n,6
240,o,4
241,i,5
242,a,2
243,o,4
244,c,2
245,c,5
246,y,6
247,s,6
248,c,3
249,n,4
250,f,5
251,f,2
252,d,2
253,b,4
254,c,3
255,t,2
256,s,2
257,j,4
258,l,4
259,m,3
260,w,6
261,b,3
262,g,3
263,c,2
264,c,2
265,o,7
266,g,6
267,a,2
268,j,3
269,d,4
270,g,4
271,v,6
272,p,2
273,v,5
274,l,5
275,b,3
276,q,4
277,j,4
278,f,5
279,y,2
280,n,5
281,m,3
282,v,3
283,o,2
284,d,4
285,d,5
286,b,3
287,l,4
288,k,3
289,c,4
290,m,3
291,e,2
292,d,3
293,c,4
294,k,5
295,j,5
296,m,6
297,a,6
298,a,2
299,h,1
300,r,6
301,k,3
302,v,2
303,r,3
304,x,5
305,a,4
306,p,5
307,e,4
308,p,5
309,b,3
310,p,5
311,a,6
312,k,4
313,w,3
314,o,5
315,s,6
316,c,4
317,j,5
318,z,5
319,v,3
320,b,2
321,n,6
322,b,7
323,m,3
324,k,3
325,z,3
326,n,6
327,j,6
328,l,5
329,w,5
330,n,3
331,n,6
332,c,5
333,h,3
334,l,4
335,f,4
336,c,3
337,u,4
338,u,3
339,m,6
340,a,2
341,q,3
342,h,5
343,f,3
344,o,4
345,d,2
346,u,4
347,d,2
348,q,3
349,a,6
350,c,4
351,d,3
352,i,2
353,h,2
354,l,3
355,r,6
356,l,8
357,i,5
358,s,5
359,r,5
360,y,3
361,o,3
362,d,3
363,h,6
364,c,2
365,a,3
366,e,3
367,m,5
368,n,4
369,r,2
370,i,5
371,a,2
372,g,3
373,e,4
374,d,2
375,r,5
376,b,4
377,p,2
378,a,2
379,d,4
380,e,2
381,y,4
382,n,6
383,d,2
384,s,5
385,x,4
386,s,2
387,k,5
388,r,6
389,s,3
390,v,5
391,n,3
392,q,4
393,o,6
394,g,7
395,e,4
396,n,3
397,n,5
398,o,7
399,e,2
400,n,4
401,i,3
402,y,6
403,b,5
404,t,5
405,m,2
406,x,4
407,i,6
408,s,4
409,x,3
410,n,4
411,b,4
412,q,3
413,e,3
414,f,2
415,e,4
416,z,5
417,d,3
418,r,5
419,b,3
420,c,4
421,a,2
422,e,5
423,e,5
424,e,6
425,z,5
426,d,6
427,c,2
428,l,4
429,m,3
430,g,3
431,l,6
432,d,5
433,k,3
434,k,4
435,z,3
436,b,5
437,p,3
438,h,6
439,o,6
440,h,6
441,j,4
442,c,1
443,v,8
444,q,2
445,f,2
446,a,3
447,z,5
448,u,2
449,d,4
450,m,3
451,h,4
452,v,4
453,c,4
454,m,5
455,c,4
456,l,3
457,j,2
458,a,4
459,n,5
460,v,2
461,s,3
462,b,4
463,x,4
464,e,2
465,e,2
466,w,3
467,i,3
468,d,6
469,g,4
470,l,3
471,q,6
472,g,6
473,c,4
474,g,5
475,a,3
476,k,5
477,g,2
478,s,5
479,y,3
480,a,3
481,k,6
482,l,3
483,l,6
484,k,5
485,m,4
486,t,4
487,n,3
488,g,3
489,f,2
490,j,4
491,c,8
492,p,6
493,z,5
494,c,3
495,g,4
496,j,3
497,l,7
498,m,5
499,b,7
500,r,6
501,b,5
502,g,4
503,o,6
504,a,2
505,l,4
506,b,1
507,l,4
508,e,5
509,d,2
510,p,6
511,y,6
512,h,4
